Enter the number of desired servers: 10
Enter the desired number of clock cycles: 10000
Enter the lower bound for task times (in clock cycles): 2
Enter the upper bound for task times (in clock cycles): 50
 Server 1 finished at clock cycle 4 from 197.156.128.194 to 74.73.234.122
 Server 6 finished at clock cycle 21 from 250.90.136.54 to 136.63.96.247
 Server 5 finished at clock cycle 25 from 14.175.130.186 to 144.217.255.231
 Server 10 finished at clock cycle 30 from 63.18.211.123 to 126.109.153.200
 Server 7 finished at clock cycle 32 from 64.97.213.166 to 29.205.124.180
 Server 9 finished at clock cycle 38 from 46.236.120.169 to 148.242.247.205
 Server 1 finished at clock cycle 45 from 237.131.197.141 to 96.19.89.20
 Server 2 finished at clock cycle 45 from 100.78.139.136 to 207.194.69.192
 Server 3 finished at clock cycle 45 from 131.85.15.189 to 132.36.242.136
 Server 8 finished at clock cycle 49 from 129.253.42.17 to 108.77.91.191
 Server 2 finished at clock cycle 51 from 106.22.183.127 to 165.122.240.198
 Server 4 finished at clock cycle 51 from 232.129.186.86 to 198.240.9.186
 Server 5 finished at clock cycle 54 from 121.226.200.3 to 198.236.189.65
 Server 7 finished at clock cycle 57 from 108.60.248.248 to 95.197.177.30
 Server 3 finished at clock cycle 59 from 192.232.219.146 to 252.235.207.22
 Server 8 finished at clock cycle 59 from 27.164.178.97 to 113.122.219.202
 Server 9 finished at clock cycle 66 from 219.122.185.160 to 43.53.36.152
 Server 4 finished at clock cycle 69 from 180.188.94.25 to 243.47.78.48
 Server 6 finished at clock cycle 68 from 145.165.14.45 to 51.126.16.131
 Server 10 finished at clock cycle 71 from 66.40.136.73 to 27.232.80.153
 Server 5 finished at clock cycle 75 from 42.103.72.144 to 246.205.179.141
 Server 10 finished at clock cycle 79 from 195.119.111.201 to 180.161.66.100
 Server 1 finished at clock cycle 85 from 122.220.50.167 to 30.232.252.227
 Server 10 finished at clock cycle 84 from 15.96.41.163 to 125.142.67.237
 Server 2 finished at clock cycle 89 from 135.223.20.2 to 2.219.94.215
 Server 7 finished at clock cycle 90 from 252.144.223.217 to 14.219.49.76
 Server 1 finished at clock cycle 100 from 38.154.38.99 to 252.84.55.0
 Server 8 finished at clock cycle 105 from 55.156.45.72 to 58.7.251.54
 Server 10 finished at clock cycle 104 from 242.21.8.154 to 38.172.133.89
 Server 7 finished at clock cycle 106 from 252.139.64.153 to 101.109.253.89
 Server 3 finished at clock cycle 112 from 46.218.48.192 to 50.113.58.230
 Server 4 finished at clock cycle 116 from 87.180.55.71 to 217.70.235.14
 Server 6 finished at clock cycle 121 from 100.147.227.110 to 244.220.148.60
 Server 9 finished at clock cycle 120 from 169.2.101.24 to 46.250.253.11
 Server 5 finished at clock cycle 122 from 101.76.235.112 to 12.203.215.64
 Server 1 finished at clock cycle 128 from 134.166.190.175 to 166.96.51.89
 Server 10 finished at clock cycle 136 from 108.217.225.156 to 87.66.90.244
 Server 7 finished at clock cycle 139 from 149.56.115.32 to 36.231.110.71
 Server 2 finished at clock cycle 141 from 150.147.190.1 to 153.165.133.231
 Server 8 finished at clock cycle 143 from 63.33.232.164 to 253.113.134.72
 Server 3 finished at clock cycle 145 from 180.14.49.59 to 106.56.123.252
 Server 4 finished at clock cycle 148 from 37.40.240.70 to 164.104.45.46
 Server 6 finished at clock cycle 152 from 201.155.70.97 to 234.135.66.175
 Server 8 finished at clock cycle 155 from 140.175.149.222 to 73.16.215.24
 Server 9 finished at clock cycle 159 from 195.138.29.222 to 3.10.244.54
 Server 3 finished at clock cycle 160 from 134.239.239.137 to 102.7.99.227
 Server 4 finished at clock cycle 163 from 0.194.183.55 to 248.100.86.250
 Server 1 finished at clock cycle 165 from 251.253.174.236 to 15.20.82.124
 Server 5 finished at clock cycle 171 from 136.210.132.179 to 44.165.186.66
 Server 6 finished at clock cycle 170 from 251.198.12.249 to 182.222.175.89
 Server 7 finished at clock cycle 170 from 132.185.51.139 to 169.232.232.136
 Server 9 finished at clock cycle 178 from 226.200.252.40 to 7.37.9.117
 Server 10 finished at clock cycle 178 from 15.187.165.127 to 204.238.134.95
 Server 2 finished at clock cycle 181 from 79.185.224.213 to 174.168.150.62
 Server 3 finished at clock cycle 183 from 177.94.214.118 to 118.104.209.124
 Server 10 finished at clock cycle 185 from 52.121.111.129 to 104.90.115.241
 Server 2 finished at clock cycle 193 from 230.179.185.37 to 173.35.14.71
 Server 4 finished at clock cycle 199 from 26.49.62.8 to 145.53.143.40
 Server 1 finished at clock cycle 201 from 71.245.43.140 to 250.116.205.233
 Server 3 finished at clock cycle 203 from 101.51.235.148 to 138.106.117.83
 Server 8 finished at clock cycle 203 from 50.158.147.68 to 33.181.134.36
 Server 5 finished at clock cycle 205 from 219.162.185.236 to 252.119.112.119
 Server 7 finished at clock cycle 213 from 88.192.189.90 to 186.206.71.121
 Server 2 finished at clock cycle 215 from 40.12.157.160 to 224.19.175.122
 Server 4 finished at clock cycle 217 from 118.38.180.224 to 195.173.133.141
 Server 6 finished at clock cycle 220 from 42.66.144.101 to 244.96.31.78
 Server 6 finished at clock cycle 227 from 208.125.254.44 to 234.217.240.36
 Server 9 finished at clock cycle 226 from 57.135.104.226 to 133.170.35.76
 Server 5 finished at clock cycle 229 from 205.58.124.31 to 2.17.173.33
 Server 7 finished at clock cycle 229 from 116.200.145.131 to 10.222.237.0
 Server 10 finished at clock cycle 231 from 194.18.90.41 to 239.153.51.139
 Server 1 finished at clock cycle 233 from 161.173.70.23 to 172.236.178.246
 Server 3 finished at clock cycle 234 from 247.28.255.74 to 140.194.24.36
 Server 1 finished at clock cycle 248 from 34.15.208.247 to 127.143.78.57
 Server 6 finished at clock cycle 249 from 226.43.161.200 to 47.87.72.121
 Server 5 finished at clock cycle 252 from 105.152.67.91 to 67.156.228.118
 Server 8 finished at clock cycle 252 from 84.23.190.18 to 201.165.246.193
 Server 7 finished at clock cycle 261 from 54.194.200.92 to 29.36.87.183
 Server 2 finished at clock cycle 263 from 112.69.169.247 to 195.183.237.132
 Server 3 finished at clock cycle 267 from 205.137.27.196 to 73.62.65.176
 Server 4 finished at clock cycle 266 from 134.116.50.120 to 107.1.0.139
 Server 8 finished at clock cycle 266 from 166.174.149.150 to 242.219.93.221
 Server 2 finished at clock cycle 270 from 206.102.133.52 to 177.143.104.61
 Server 9 finished at clock cycle 272 from 218.173.64.94 to 214.185.70.62
 Server 10 finished at clock cycle 279 from 155.170.141.141 to 119.59.36.136
 Server 5 finished at clock cycle 280 from 252.150.23.12 to 102.125.190.26
 Server 1 finished at clock cycle 283 from 109.132.204.1 to 88.244.171.233
 Server 6 finished at clock cycle 282 from 109.245.115.177 to 169.66.24.158
 Server 9 finished at clock cycle 285 from 198.190.17.54 to 219.78.235.1
 Server 1 finished at clock cycle 289 from 159.38.190.244 to 202.227.124.161
 Server 6 finished at clock cycle 290 from 31.62.29.159 to 191.180.162.3
 Server 7 finished at clock cycle 291 from 126.181.146.242 to 146.122.134.24
 Server 5 finished at clock cycle 297 from 3.133.106.97 to 254.227.66.241
 Server 8 finished at clock cycle 298 from 20.171.209.23 to 134.178.220.252
 Server 4 finished at clock cycle 303 from 144.55.88.60 to 196.143.241.9
 Server 3 finished at clock cycle 308 from 19.141.183.195 to 207.81.138.229
 Server 10 finished at clock cycle 313 from 57.86.171.181 to 21.14.76.0
 Server 2 finished at clock cycle 318 from 150.23.8.72 to 188.178.115.100
 Server 3 finished at clock cycle 320 from 43.64.145.94 to 14.103.226.162
 Server 2 finished at clock cycle 324 from 55.121.177.69 to 113.220.201.211
 Server 9 finished at clock cycle 327 from 209.96.147.249 to 39.69.14.72
 Server 7 finished at clock cycle 331 from 12.47.164.51 to 211.202.226.123
 Server 1 finished at clock cycle 332 from 225.109.181.201 to 153.122.176.46
 Server 5 finished at clock cycle 337 from 93.176.206.40 to 179.111.6.198
 Server 8 finished at clock cycle 336 from 174.49.162.199 to 36.40.35.76
 Server 1 finished at clock cycle 339 from 153.224.182.147 to 100.83.130.31
 Server 4 finished at clock cycle 342 from 12.167.49.231 to 101.175.72.73
 Server 6 finished at clock cycle 343 from 140.45.106.190 to 166.124.73.231
 Server 10 finished at clock cycle 343 from 230.49.92.16 to 67.105.135.192
 Server 9 finished at clock cycle 348 from 113.6.13.81 to 28.170.228.125
 Server 3 finished at clock cycle 352 from 48.250.33.205 to 185.241.54.28
 Server 8 finished at clock cycle 352 from 172.174.122.230 to 122.247.209.193
 Server 7 finished at clock cycle 356 from 160.159.92.228 to 28.149.91.250
 Server 9 finished at clock cycle 362 from 45.114.247.157 to 166.185.164.221
 Server 5 finished at clock cycle 369 from 87.138.190.135 to 93.250.25.13
 Server 4 finished at clock cycle 371 from 228.142.52.228 to 102.232.8.198
 Server 2 finished at clock cycle 375 from 35.20.64.121 to 51.101.78.224
 Server 7 finished at clock cycle 378 from 202.14.22.88 to 204.158.22.110
 Server 9 finished at clock cycle 379 from 105.92.143.74 to 183.48.252.22
 Server 10 finished at clock cycle 378 from 179.131.229.108 to 61.37.56.121
 Server 1 finished at clock cycle 385 from 253.125.76.8 to 15.74.85.208
 Server 4 finished at clock cycle 385 from 54.50.238.44 to 78.18.205.127
 Server 6 finished at clock cycle 384 from 156.90.144.255 to 58.167.197.180
 Server 7 finished at clock cycle 384 from 141.87.86.210 to 31.134.93.145
 Server 8 finished at clock cycle 384 from 143.52.149.172 to 218.141.201.39
 Server 10 finished at clock cycle 385 from 66.189.80.1 to 39.8.212.58
 Server 3 finished at clock cycle 390 from 1.222.28.8 to 46.231.93.21
 Server 3 finished at clock cycle 397 from 66.131.90.4 to 124.127.24.105
 Server 5 finished at clock cycle 397 from 96.180.131.157 to 241.55.26.95
 Server 8 finished at clock cycle 398 from 126.91.167.117 to 227.158.90.108
 Server 10 finished at clock cycle 403 from 137.169.22.65 to 83.55.78.218
 Server 2 finished at clock cycle 406 from 124.107.108.49 to 237.219.83.129
 Server 8 finished at clock cycle 408 from 85.7.182.0 to 124.37.156.102
 Server 1 finished at clock cycle 419 from 202.51.238.69 to 113.66.233.234
 Server 3 finished at clock cycle 421 from 243.67.121.151 to 17.114.252.54
 Server 8 finished at clock cycle 422 from 29.254.230.241 to 83.101.152.206
 Server 9 finished at clock cycle 422 from 26.110.249.56 to 102.89.243.156
 Server 6 finished at clock cycle 425 from 52.73.192.158 to 164.250.247.164
