Enter the number of desired servers: 10
Enter the desired number of clock cycles: 10000
Enter the lower bound for task times (in clock cycles): 2
Enter the upper bound for task times (in clock cycles): 500
 Server 2 finished at clock cycle 187 from 195.200.199.21 to 243.132.178.28
 Server 5 finished at clock cycle 164 from 235.96.25.25 to 31.20.87.74
 Server 7 finished at clock cycle 263 from 85.232.88.0 to 94.223.148.18
 Server 6 finished at clock cycle 338 from 54.205.10.23 to 15.71.152.110
 Server 9 finished at clock cycle 373 from 180.34.9.47 to 178.199.163.35
 Server 1 finished at clock cycle 484 from 212.253.8.194 to 139.114.222.241
 Server 4 finished at clock cycle 462 from 227.199.161.156 to 77.24.172.222
 Server 8 finished at clock cycle 422 from 130.245.180.92 to 253.100.71.120
 Server 10 finished at clock cycle 430 from 130.27.87.67 to 8.244.213.181
 Server 3 finished at clock cycle 517 from 251.113.139.160 to 7.10.253.42
 Server 7 finished at clock cycle 505 from 123.54.133.247 to 239.177.28.112
 Server 6 finished at clock cycle 682 from 118.197.78.84 to 8.162.169.211
 Server 8 finished at clock cycle 663 from 206.194.110.144 to 139.250.77.7
 Server 1 finished at clock cycle 790 from 194.103.64.30 to 68.208.168.52
 Server 2 finished at clock cycle 763 from 147.246.53.42 to 151.255.27.69
 Server 5 finished at clock cycle 758 from 87.18.35.131 to 181.90.146.33
 Server 9 finished at clock cycle 765 from 59.233.216.172 to 144.22.205.244
 Server 8 finished at clock cycle 855 from 81.250.105.154 to 77.140.89.147
 Server 10 finished at clock cycle 919 from 41.252.32.88 to 76.189.184.67
 Server 3 finished at clock cycle 1015 from 84.37.183.125 to 41.183.193.209
 Server 4 finished at clock cycle 1023 from 26.121.146.135 to 172.67.4.73
 Server 5 finished at clock cycle 1067 from 230.191.229.147 to 218.139.71.219
 Server 6 finished at clock cycle 1064 from 63.224.40.197 to 5.253.210.12
 Server 7 finished at clock cycle 1147 from 199.70.119.38 to 210.67.210.227
 Server 2 finished at clock cycle 1203 from 94.88.217.66 to 99.94.175.186
 Server 1 finished at clock cycle 1385 from 63.102.6.28 to 96.254.198.49
 Server 5 finished at clock cycle 1315 from 166.196.25.96 to 63.239.208.163
 Server 6 finished at clock cycle 1394 from 165.125.27.210 to 231.186.147.72
 Server 8 finished at clock cycle 1392 from 215.204.1.92 to 221.56.129.146
 Server 9 finished at clock cycle 1304 from 151.231.35.7 to 25.116.151.131
 Server 10 finished at clock cycle 1397 from 249.211.82.115 to 152.108.197.124
 Server 4 finished at clock cycle 1435 from 57.135.221.179 to 113.242.56.235
 Server 3 finished at clock cycle 1501 from 247.173.5.143 to 3.97.24.94
 Server 9 finished at clock cycle 1542 from 160.16.155.118 to 193.109.72.220
 Server 10 finished at clock cycle 1571 from 99.160.181.10 to 254.179.180.75
 Server 2 finished at clock cycle 1664 from 70.170.153.254 to 139.106.161.44
 Server 7 finished at clock cycle 1677 from 197.76.83.76 to 47.164.249.6
 Server 8 finished at clock cycle 1725 from 84.71.153.230 to 84.154.232.106
 Server 1 finished at clock cycle 1868 from 45.233.237.119 to 130.197.58.142
 Server 5 finished at clock cycle 1899 from 42.112.124.244 to 248.195.217.77
 Server 6 finished at clock cycle 1976 from 229.126.141.119 to 116.114.135.94
 Server 1 finished at clock cycle 2051 from 125.255.32.219 to 195.69.51.226
 Server 4 finished at clock cycle 2032 from 77.243.48.220 to 197.142.72.3
 Server 8 finished at clock cycle 2070 from 93.165.4.63 to 24.32.221.196
 Server 10 finished at clock cycle 2055 from 141.186.147.159 to 16.140.248.188
 Server 2 finished at clock cycle 2180 from 65.79.224.60 to 200.237.15.152
 Server 3 finished at clock cycle 2180 from 234.183.36.130 to 22.0.177.70
 Server 9 finished at clock cycle 2103 from 56.144.192.134 to 72.216.111.203
 Server 4 finished at clock cycle 2234 from 165.144.197.245 to 171.79.179.82
 Server 7 finished at clock cycle 2280 from 64.212.128.92 to 16.205.245.47
 Server 8 finished at clock cycle 2247 from 98.4.110.106 to 199.54.173.29
 Server 6 finished at clock cycle 2369 from 43.109.76.11 to 154.186.131.62
 Server 2 finished at clock cycle 2416 from 174.26.65.21 to 149.21.125.27
 Server 4 finished at clock cycle 2450 from 53.31.218.37 to 95.58.247.85
 Server 5 finished at clock cycle 2479 from 233.200.238.148 to 16.180.112.55
 Server 10 finished at clock cycle 2438 from 56.135.112.217 to 109.236.146.76
 Server 9 finished at clock cycle 2508 from 236.226.89.174 to 58.45.21.32
 Server 1 finished at clock cycle 2621 from 171.156.136.60 to 100.251.199.236
 Server 8 finished at clock cycle 2661 from 118.255.166.154 to 170.219.70.237
 Server 2 finished at clock cycle 2795 from 47.161.111.141 to 245.84.154.115
 Server 3 finished at clock cycle 2723 from 103.142.73.120 to 142.47.110.116
 Server 5 finished at clock cycle 2794 from 120.21.250.212 to 118.72.198.245
 Server 7 finished at clock cycle 2713 from 212.46.118.29 to 140.115.59.92
 Server 4 finished at clock cycle 2863 from 73.57.212.32 to 253.44.52.82
 Server 8 finished at clock cycle 2879 from 215.116.214.186 to 135.212.147.126
 Server 1 finished at clock cycle 2974 from 192.120.27.137 to 227.174.32.27
 Server 6 finished at clock cycle 2915 from 22.171.240.115 to 42.104.25.144
 Server 9 finished at clock cycle 2971 from 120.134.71.15 to 250.89.134.29
 Server 10 finished at clock cycle 2921 from 70.125.20.193 to 196.254.136.226
 Server 5 finished at clock cycle 3056 from 91.145.45.234 to 200.20.156.70
 Server 4 finished at clock cycle 3119 from 102.78.2.194 to 137.94.129.230
 Server 9 finished at clock cycle 3166 from 118.151.118.104 to 42.154.34.60
 Server 1 finished at clock cycle 3230 from 88.68.132.101 to 171.68.47.122
 Server 2 finished at clock cycle 3223 from 199.75.249.98 to 93.136.199.67
 Server 5 finished at clock cycle 3272 from 234.124.199.112 to 123.31.19.172
 Server 6 finished at clock cycle 3226 from 214.25.166.42 to 16.165.8.227
 Server 7 finished at clock cycle 3232 from 92.31.66.168 to 16.20.199.175
 Server 3 finished at clock cycle 3349 from 56.190.252.16 to 153.102.236.151
 Server 8 finished at clock cycle 3375 from 128.191.77.180 to 240.32.136.9
 Server 10 finished at clock cycle 3497 from 166.66.54.185 to 3.35.28.117
 Server 2 finished at clock cycle 3520 from 222.243.166.25 to 177.196.99.61
 Server 4 finished at clock cycle 3563 from 42.155.221.1 to 58.167.73.130
 Server 7 finished at clock cycle 3504 from 174.48.127.126 to 176.162.96.209
 Server 8 finished at clock cycle 3577 from 154.145.212.165 to 27.134.46.180
 Server 9 finished at clock cycle 3568 from 41.101.49.236 to 43.91.188.168
 Server 1 finished at clock cycle 3672 from 204.218.22.119 to 186.31.185.150
 Server 3 finished at clock cycle 3776 from 97.252.245.93 to 205.15.34.162
 Server 6 finished at clock cycle 3758 from 74.7.214.27 to 203.21.64.61
 Server 9 finished at clock cycle 3786 from 187.65.255.217 to 232.144.116.66
 Server 2 finished at clock cycle 3837 from 74.23.139.18 to 25.196.25.147
 Server 5 finished at clock cycle 3859 from 206.167.202.196 to 202.104.36.135
 Server 7 finished at clock cycle 3851 from 119.217.39.133 to 233.76.227.182
 Server 10 finished at clock cycle 3813 from 0.116.162.171 to 151.255.25.71
 Server 1 finished at clock cycle 3993 from 27.66.180.18 to 101.235.57.204
 Server 3 finished at clock cycle 3941 from 33.192.119.195 to 185.183.104.48
 Server 3 finished at clock cycle 4108 from 174.17.52.43 to 112.38.175.188
 Server 4 finished at clock cycle 4189 from 224.242.85.103 to 91.160.247.128
 Server 8 finished at clock cycle 4180 from 192.242.205.42 to 18.65.236.220
 Server 10 finished at clock cycle 4204 from 202.30.216.46 to 182.254.171.152
 Server 2 finished at clock cycle 4341 from 81.99.100.242 to 41.2.152.167
 Server 6 finished at clock cycle 4376 from 159.111.10.116 to 9.249.65.16
 Server 9 finished at clock cycle 4345 from 10.99.80.110 to 23.6.74.180
 Server 5 finished at clock cycle 4469 from 19.38.174.51 to 142.10.25.136
 Server 7 finished at clock cycle 4400 from 162.37.17.182 to 175.250.68.39
 Server 8 finished at clock cycle 4451 from 65.120.246.50 to 223.226.123.145
 Server 1 finished at clock cycle 4500 from 211.217.162.65 to 6.195.114.124
 Server 10 finished at clock cycle 4592 from 66.49.101.140 to 156.201.216.135
 Server 4 finished at clock cycle 4662 from 211.120.239.137 to 117.93.106.129
 Server 5 finished at clock cycle 4616 from 101.252.218.124 to 13.234.226.58
 Server 2 finished at clock cycle 4755 from 77.59.172.41 to 255.202.244.159
 Server 3 finished at clock cycle 4706 from 76.23.12.88 to 227.185.144.159
 Server 7 finished at clock cycle 4789 from 183.190.150.116 to 54.213.103.116
 Server 6 finished at clock cycle 4914 from 200.252.152.128 to 114.140.161.212
 Server 8 finished at clock cycle 4933 from 199.176.49.122 to 161.65.228.107
 Server 9 finished at clock cycle 4991 from 33.28.156.195 to 224.113.73.251
 Server 10 finished at clock cycle 4960 from 246.245.193.174 to 185.98.163.80
 Server 1 finished at clock cycle 5010 from 108.208.244.30 to 38.252.186.194
 Server 4 finished at clock cycle 5016 from 122.244.59.247 to 31.147.191.69
 Server 5 finished at clock cycle 5057 from 185.71.217.137 to 218.5.94.249
 Server 7 finished at clock cycle 5006 from 97.25.199.221 to 209.48.139.62
 Server 6 finished at clock cycle 5122 from 145.113.191.101 to 198.172.27.235
 Server 8 finished at clock cycle 5194 from 221.148.39.155 to 159.199.37.179
 Server 2 finished at clock cycle 5213 from 26.205.122.220 to 106.86.86.93
 Server 3 finished at clock cycle 5230 from 221.155.148.27 to 39.117.48.90
 Server 9 finished at clock cycle 5295 from 103.207.244.229 to 187.74.6.171
 Server 10 finished at clock cycle 5287 from 166.248.1.59 to 240.254.190.1
 Server 4 finished at clock cycle 5396 from 11.98.255.221 to 36.141.254.126
 Server 6 finished at clock cycle 5348 from 33.234.253.147 to 124.36.65.19
 Server 7 finished at clock cycle 5385 from 109.56.89.20 to 209.114.10.63
 Server 3 finished at clock cycle 5439 from 125.92.97.48 to 162.9.3.129
 Server 5 finished at clock cycle 5404 from 225.150.55.39 to 43.4.253.53
 Server 10 finished at clock cycle 5414 from 67.187.37.20 to 43.223.83.20
 Server 6 finished at clock cycle 5519 from 176.118.48.15 to 156.229.113.167
 Server 1 finished at clock cycle 5672 from 90.8.58.196 to 108.178.92.239
 Server 3 finished at clock cycle 5650 from 65.21.229.181 to 31.30.6.220
 Server 9 finished at clock cycle 5620 from 36.53.104.216 to 229.212.209.181
 Server 7 finished at clock cycle 5790 from 67.241.148.26 to 232.11.180.232
 Server 8 finished at clock cycle 5738 from 22.250.242.25 to 93.254.134.98
 Server 2 finished at clock cycle 5875 from 7.104.203.51 to 101.56.219.84
 Server 5 finished at clock cycle 5851 from 28.201.53.211 to 246.152.40.66
 Server 1 finished at clock cycle 5982 from 90.11.207.63 to 21.188.214.53
